"Time.ms","hearing_status_participant","value_cat","mean_prop_looking","ci_low","ci_high"
"2333","deaf","Target",0.554395198186317,0.0882388647993089,0.086173157754161
"2333","hearing","Distractor",0.165657529604898,0.0681063037839354,0.0772537601287601
"2333","hearing","Signer",0.337588347325189,0.114485583860584,0.123457477464056
"2333","hearing","Target",0.496754123069913,0.104132139790034,0.105717659533449
"2367","deaf","Distractor",0.103592139768127,0.0489536023187339,0.0484523457627898
"2367","deaf","Signer",0.316549011113156,0.0965419037285813,0.109585776956048
"2367","deaf","Target",0.579858849118718,0.0978512661726066,0.0975346027327935
"2367","hearing","Distractor",0.173925116718639,0.0636401995440457,0.0784874706939485
"2367","hearing","Signer",0.338837525497445,0.128689515612593,0.130025514970859
"2367","hearing","Target",0.487237357783916,0.105175065319296,0.106712541844121
"2400","deaf","Distractor",0.0946444664082048,0.0414546528838808,0.0481641394596116
"2400","deaf","Signer",0.34711548905386,0.078693139103114,0.0921176928667737
"2400","deaf","Target",0.558240044537935,0.0824151029032028,0.0776518739070742
"2400","hearing","Distractor",0.177924212539597,0.0659563726871419,0.0720401500209192
"2400","hearing","Signer",0.336461188384265,0.122634934509935,0.127623765123765
"2400","hearing","Target",0.485614599076138,0.107969039507501,0.101529506817968
"2433","deaf","Distractor",0.100939284367593,0.0395195758591898,0.0436269964716656
"2433","deaf","Signer",0.354298272193493,0.0838407224668714,0.0876772281027796
"2433","deaf","Target",0.544762443438914,0.0873709717059901,0.0854408456892373
"2433","hearing","Distractor",0.157375210096044,0.0681162933400785,0.0734977968891012
"2433","hearing","Signer",0.352898654016104,0.127784076635542,0.142813352559959
"2433","hearing","Target",0.489726135887851,0.107986743140786,0.11481514550765
"2467","deaf","Distractor",0.103188141947249,0.0420523295360951,0.0410075633086542
"2467","deaf","Signer",0.368579948283328,0.080142457803548,0.0899649294033238
"2467","deaf","Target",0.528231909769423,0.0771938731399543,0.0741148797450643
"2467","hearing","Distractor",0.159500360188619,0.065393735818837,0.0770012671763684
"2467","hearing","Signer",0.355028965636253,0.128975069240251,0.138868663949636
"2467","hearing","Target",0.485470674175128,0.114208874458874,0.106015506311053
"2500","deaf","Distractor",0.102296998344792,0.0452916872241321,0.0462091238010356
"2500","deaf","Signer",0.374375663144045,0.0760576109705245,0.0881510008833079
"2500","deaf","Target",0.523327338511162,0.0900844152528436,0.0808151545656141
"2500","hearing","Distractor",0.16291624255187,0.0694787721275575,0.073717078243394
"2500","hearing","Signer",0.358144563488693,0.127625633138791,0.138047002255504
"2500","hearing","Target",0.478939193959437,0.11208516775622,0.101328053413074
"2533","deaf","Distractor",0.104789756811816,0.0452973007384772,0.0470618474662592
"2533","deaf","Signer",0.383203184682964,0.0827866274350649,0.092632302210657
"2533","deaf","Target",0.51200705850522,0.0929057884517444,0.0927587306229309
"2533","hearing","Distractor",0.156057226526334,0.0680585278565828,0.0793875629519222
"2533","hearing","Signer",0.374992296033486,0.135119062097323,0.141868520686026
"2533","hearing","Target",0.46895047744018,0.107202203784012,0.100918841837034
"2567","deaf","Distractor",0.100883307868602,0.0448707266997708,0.0478149801587302
"2567","deaf","Signer",0.403212694168577,0.0846974372135218,0.089047050733172
"2567","deaf","Target",0.495903997962821,0.0854228803263729,0.0849835779008573
"2567","hearing","Distractor",0.144990832281802,0.0705171899820729,0.0835796570579179
"2567","hearing","Signer",0.376307267611615,0.132570340287732,0.131674165206774
"2567","hearing","Target",0.478701900106582,0.100116383059527,0.100065628815629
"2600","deaf","Distractor",0.101311059941091,0.0424953144443276,0.0529493510230739
"2600","deaf","Signer",0.409120014402522,0.0824396888747218,0.0883123991913659
"2600","deaf","Target",0.489568925656387,0.0929864957346575,0.0853642671183307
"2600","hearing","Distractor",0.14873281239678,0.0728948901975218,0.0772081764389456
"2600","hearing","Signer",0.366683575084385,0.130906088681898,0.149413315260987
"2600","hearing","Target",0.484583612518835,0.105167082692386,0.0977642825011245
"2633","deaf","Distractor",0.11677158625688,0.0510370343504535,0.0519825884899414
"2633","deaf","Signer",0.411484731567452,0.0812991772320816,0.0933894552139038
"2633","deaf","Target",0.471743682175667,0.0806729801295518,0.0864797599000265
"2633","hearing","Distractor",0.138507651768521,0.0674909673659674,0.0671124708624709
"2633","hearing","Signer",0.389572301810153,0.117999231444884,0.144674645083533
"2633","hearing","Target",0.471920046421325,0.109777103615339,0.104815645635978
"2667","deaf","Distractor",0.118340850326144,0.0451809158978277,0.0435247432306256
"2667","deaf","Signer",0.418624140361273,0.0839487875023261,0.0866565685131861
"2667","deaf","Target",0.463035009312583,0.0816212731814754,0.0800509281874172
"2667","hearing","Distractor",0.142175481523308,0.0611152283706632,0.06598136344332
"2667","hearing","Signer",0.391222463242924,0.121049225568407,0.130697455712801
"2667","hearing","Target",0.466602055233769,0.118365583691671,0.106569420243013
"2700","deaf","Distractor",0.1110595545701,0.0458318123193921,0.050143603697626
"2700","deaf","Signer",0.431551394315036,0.0867249839903066,0.0922338924521829
"2700","deaf","Target",0.457389051114864,0.0874099053372346,0.088374331428644
"2700","hearing","Distractor",0.134049840906028,0.0589969631817458,0.0640709743155395
"2700","hearing","Signer",0.401105463216007,0.117738984596932,0.141873327561367
"2700","hearing","Target",0.464844695877965,0.11084149359266,0.106319701978477
"2733","deaf","Distractor",0.115668516210312,0.0492992612714942,0.0527728034993901
"2733","deaf","Signer",0.43397142798507,0.0930587788718956,0.0966869397654396
"2733","deaf","Target",0.450360055804619,0.0833231715233941,0.0803777078265516
"2733","hearing","Distractor",0.141201746970978,0.0639954116396424,0.0784821428571429
"2733","hearing","Signer",0.410352737680673,0.118963465684113,0.125363059679861
"2733","hearing","Target",0.448445515348349,0.118028528489055,0.117035549639295
"2767","deaf","Distractor",0.115912022703818,0.0477556483119564,0.0540582153914197
"2767","deaf","Signer",0.43109669854784,0.0868819970422379,0.0888596376050421
"2767","deaf","Target",0.452991278748341,0.0932175625184284,0.0833613445378152
"2767","hearing","Distractor",0.120421245421245,0.0664285714285714,0.0756456043956044
"2767","hearing","Signer",0.425901291690765,0.114811066126856,0.12558680354733
"2767","hearing","Target",0.453677462887989,0.132065741276268,0.116823790244843
"2800","deaf","Distractor",0.11514999878003,0.0498378631602316,0.0503172098530554
"2800","deaf","Signer",0.437790663284084,0.0864013191615746,0.103968704396094
"2800","deaf","Target",0.447059337935886,0.0926150484577342,0.0898714031066971
"2800","hearing","Distractor",0.121331446331446,0.0683477633477633,0.0814918414918415
"2800","hearing","Signer",0.423865023865024,0.119359945609946,0.130117105117105
"2800","hearing","Target",0.45480352980353,0.125977147852148,0.125592740592741
"2833","deaf","Distractor",0.110266340771372,0.0439937666500167,0.0474683098763981
"2833","deaf","Signer",0.44444040651471,0.101417578594436,0.106458729125621
"2833","deaf","Target",0.445293252713918,0.107336797807241,0.103521546070888
"2833","hearing","Distractor",0.114843197737935,0.06427940845704,0.0736019536019536
"2833","hearing","Signer",0.428420556052135,0.119855875119033,0.12025471239287
"2833","hearing","Target",0.45673624620993,0.127076487109382,0.131385117075906
"2867","deaf","Distractor",0.134892155792407,0.0549548763634242,0.0510950665445271
"2867","deaf","Signer",0.439172709886719,0.0955089451674809,0.110897354481067
"2867","deaf","Target",0.425935134320873,0.106801822927137,0.115700410210436
"2867","hearing","Distractor",0.114973158821073,0.0630534670008354,0.0775695746097084
"2867","hearing","Signer",0.456360363022922,0.139308905415225,0.145130929012508
"2867","hearing","Target",0.428666478156005,0.143732568625413,0.146115547305479
"2900","deaf","Distractor",0.138463558500323,0.0488208654856173,0.0511848789996767
"2900","deaf","Signer",0.443716332686921,0.091828168767507,0.110254979395604
"2900","deaf","Target",0.417820108812756,0.104578632534745,0.110867471988795
"2900","hearing","Distractor",0.117184232771277,0.0635274947724341,0.066620082009758
"2900","hearing","Signer",0.454870669141924,0.12028792732234,0.138860429381684
"2900","hearing","Target",0.427945098086798,0.125002185735991,0.132581119959662
"2933","deaf","Distractor",0.125014135170385,0.0486020641684704,0.0447614668317793
"2933","deaf","Signer",0.462319711538462,0.109418264027639,0.111006942276473
"2933","deaf","Target",0.412666153291153,0.112430319246726,0.130178937815657
"2933","hearing","Distractor",0.143725835470247,0.0664143502354205,0.0722348787456162
"2933","hearing","Signer",0.412981811749634,0.101551508838518,0.102668758269445
"2933","hearing","Target",0.443292352780119,0.112166521502906,0.108384712160456
"2967","deaf","Distractor",0.126432877443907,0.0425395537792137,0.0424483272633548
"2967","deaf","Signer",0.463927837549161,0.106339513393741,0.103130073051948
"2967","deaf","Target",0.409639285006932,0.124113751640176,0.129577329669241
"2967","hearing","Distractor",0.149829702461281,0.0720137683953473,0.0817765567765567
"2967","hearing","Signer",0.414326901169006,0.0990971747550695,0.0999706068785015
"2967","hearing","Target",0.435843396369712,0.11201375379007,0.105787998551157
"3000","deaf","Distractor",0.134619854886399,0.0394355572089947,0.0361640454793028
"3000","deaf","Signer",0.465241260645672,0.0963720571877741,0.106175863811434
"3000","deaf","Target",0.400138884467929,0.0948907227032227,0.104378978311653
"3000","hearing","Distractor",0.150555085939701,0.0827858551704706,0.0793570019723866
"3000","hearing","Signer",0.417669595361903,0.0898319735819736,0.0987717410794332
"3000","hearing","Target",0.431775318698396,0.0938750138750139,0.0977815347046117
"3033","deaf","Distractor",0.140352658016648,0.0466034934976015,0.0446667110986601
"3033","deaf","Signer",0.476861341702673,0.0952072736989533,0.090492020315211
"3033","deaf","Target",0.382786000280679,0.106445041389531,0.114211772449364
"3033","hearing","Distractor",0.148515373515373,0.0763027944277944,0.0749689893439894
"3033","hearing","Signer",0.42089397530574,0.0860524524495113,0.0862641974039033
"3033","hearing","Target",0.430590651178886,0.0890724308371367,0.0917282472429531
"3067","deaf","Distractor",0.144029805978335,0.0430047112813657,0.0454729545883038
"3067","deaf","Signer",0.485391735511221,0.0961880918560606,0.0912762773378582
"3067","deaf","Target",0.370578458510444,0.106248997326203,0.11240832033571
"3067","hearing","Distractor",0.152233322233322,0.0745373515373515,0.086315601065601
"3067","hearing","Signer",0.424176127935719,0.0866085800388869,0.090479900818136
"3067","hearing","Target",0.423590549830959,0.0813971321375414,0.092910056695223
"3100","deaf","Distractor",0.14985497039725,0.0454996956168831,0.047307224025974
"3100","deaf","Signer",0.488328399541635,0.105673935056977,0.100891081574675
"3100","deaf","Target",0.361816630061115,0.108525204115737,0.10619227662656
"3100","hearing","Distractor",0.153314304854527,0.0743531477812414,0.0850010255445038
"3100","hearing","Signer",0.444252336683247,0.0813372585969839,0.0923510357896909
"3100","hearing","Target",0.402433358462227,0.0876705597987062,0.091071818078067
"3133","deaf","Distractor",0.145731894916678,0.047654485460192,0.0411969473008875
"3133","deaf","Signer",0.498396700672516,0.0998258727232912,0.102878427618577
"3133","deaf","Target",0.355871404410807,0.100562008473863,0.115040278166127
