"Time.ms","age_group","value_cat","mean_prop_looking","ci_low","ci_high"
"2033","< 27 Months","Signer",0.289073129251701,0.110239158163265,0.122491496598639
"2033","< 27 Months","Target",0.541581632653061,0.0738371598639456,0.0749426020408163
"2033",">= 27 Months","Distractor",0.0976590076590077,0.0430995670995671,0.047154304029304
"2033",">= 27 Months","Signer",0.280546812709284,0.094354029234178,0.120302206247858
"2033",">= 27 Months","Target",0.621794179631708,0.111892504647653,0.098932233828973
"2033","Adults","Distractor",0.00648148148148148,0.00648148148148148,0.0106481481481481
"2033","Adults","Signer",0.485982721355705,0.182324357220401,0.170455326063945
"2033","Adults","Target",0.507535797162813,0.182796582314601,0.187758750303609
"2067","< 27 Months","Distractor",0.166380552220888,0.0752954181672669,0.0879391756702681
"2067","< 27 Months","Signer",0.294801920768307,0.102548194277711,0.116667942176871
"2067","< 27 Months","Target",0.538817527010804,0.0723857793117246,0.0749132653061224
"2067",">= 27 Months","Distractor",0.0983476400143067,0.0415693874027207,0.0442072479989147
"2067",">= 27 Months","Signer",0.275085216163648,0.0905638103726339,0.127275013113248
"2067",">= 27 Months","Target",0.626567143822046,0.126987089616992,0.108946465118034
"2067","Adults","Distractor",0.00639880952380952,0.00639880952380952,0.0102678571428571
"2067","Adults","Signer",0.488422209756413,0.175776548669397,0.18307317640984
"2067","Adults","Target",0.505178980719778,0.182230424978824,0.197056089828712
"2100","< 27 Months","Distractor",0.148816449656786,0.070315837873611,0.0840525633330255
"2100","< 27 Months","Signer",0.307267907162865,0.102177287581699,0.101884920634921
"2100","< 27 Months","Target",0.543915643180349,0.0712065114507341,0.0682203362114077
"2100",">= 27 Months","Distractor",0.0876926776926777,0.0394458041958042,0.0368891293891294
"2100",">= 27 Months","Signer",0.282866369383397,0.0990235307061933,0.137411988610518
"2100",">= 27 Months","Target",0.629440952923925,0.116171088758163,0.10315043775454
"2100","Adults","Distractor",0.00632183908045977,0.00632183908045977,0.0103448275862069
"2100","Adults","Signer",0.489133769683686,0.185704245430938,0.181906819171054
"2100","Adults","Target",0.504544391235854,0.17388796130172,0.161301130530396
"2133","< 27 Months","Distractor",0.130817756804599,0.0684326775198486,0.0733853646353646
"2133","< 27 Months","Signer",0.332957497807122,0.1013698409986,0.119794130003246
"2133","< 27 Months","Target",0.536224745388279,0.0729496113483426,0.0726779123654122
"2133",">= 27 Months","Distractor",0.0851822991822992,0.0338184223184223,0.034561568061568
"2133",">= 27 Months","Signer",0.291820774455449,0.0983684305460621,0.126707535885167
"2133",">= 27 Months","Target",0.622996926362251,0.118079315378464,0.101290584415584
"2133","Adults","Distractor",0.0102864583333333,0.0102864583333333,0.0125
"2133","Adults","Signer",0.495087563162768,0.181941917753236,0.1726270477137
"2133","Adults","Target",0.494625978503898,0.167661626423619,0.166721639722543
"2167","< 27 Months","Distractor",0.128461779448622,0.062390350877193,0.0677799968671679
"2167","< 27 Months","Signer",0.341604010025063,0.103007518796993,0.105965695488722
"2167","< 27 Months","Target",0.529934210526316,0.0729166666666666,0.0653038847117795
"2167",">= 27 Months","Distractor",0.0888603054995122,0.033180558041275,0.0381536403774771
"2167",">= 27 Months","Signer",0.291672893623313,0.099551195621905,0.131459399019067
"2167",">= 27 Months","Target",0.619466800877175,0.130264263810603,0.10803417571707
"2167","Adults","Distractor",0.0104301364942529,0.0104301364942529,0.0126436781609195
"2167","Adults","Signer",0.497193122811431,0.178266650441322,0.168744105890762
"2167","Adults","Target",0.492376740694316,0.17309881334857,0.179539572210943
"2200","< 27 Months","Distractor",0.132660791589363,0.0606599799010513,0.0632581555349413
"2200","< 27 Months","Signer",0.346150278293135,0.115528756957328,0.112040043290043
"2200","< 27 Months","Target",0.521188930117502,0.0738176406926407,0.0736328849721706
"2200",">= 27 Months","Distractor",0.0931901392954025,0.0392048135100767,0.0423641857168172
"2200",">= 27 Months","Signer",0.287935015105294,0.103733464471545,0.107376874759228
"2200",">= 27 Months","Target",0.618874845599304,0.11241529146235,0.107000961668763
"2200","Adults","Distractor",0.0104064039408867,0.0104064039408867,0.0111453201970443
"2200","Adults","Signer",0.506027131866172,0.184686829373525,0.164335654206007
