"trial","trial_in_block","block","gate","target_image","chosen_image","chosen_img_index","correct","rt","date","id","gender","age","asl_fluency","age_learned_asl","gate_name","gate_num"
"120","6","4","r_love_book_3_24_1","book","car","0",FALSE,"12432","2015-05-08-11-28",20,"Female","47","2","13","r_love_book_3","1"
"121","7","4","r_love_bear_3_21_5","bear","doll","1",FALSE,"11344","2015-05-08-11-28",20,"Female","47","2","13","r_love_bear_3","5"
"122","8","4","p_ball_where_1_25_5","ball","ball","0",TRUE,"6168","2015-05-08-11-28",20,"Female","47","2","13","p_ball_where_1","5"
"123","9","4","p_shoe_hey_2_29_5","shoe","shoe","1",TRUE,"6814","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_hey_2","5"
"124","10","4","r_doll_which_1_22_3","doll","doll","0",TRUE,"5398","2015-05-08-11-28",20,"Female","47","2","13","r_doll_which_1","3"
"125","11","4","p_shoe_where_1_19_2","shoe","shoe","1",TRUE,"5829","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_where_1","2"
"126","12","4","r_shoes_where_4_01_6","shoe","shoe","0",TRUE,"8891","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_where_3","6"
"127","13","4","p_bird_look_1_24_1","bird","bird","1",TRUE,"6160","2015-05-08-11-28",20,"Female","47","2","13","p_bird_look_1","1"
"128","14","4","r_love_cat_3_21_1","cat","cat","0",TRUE,"8050","2015-05-08-11-28",20,"Female","47","2","13","r_love_cat_3","1"
"129","15","4","r_doll_where_3_27_2","doll","doll","1",TRUE,"9741","2015-05-08-11-28",20,"Female","47","2","13","r_doll_where_3","2"
"130","16","4","r_bear_where_4_06_4","bear","bear","1",TRUE,"8713","2015-05-08-11-28",20,"Female","47","2","13","r_bear_where_4","4"
"131","17","4","p_ball_find_2_04_4","ball","ball","0",TRUE,"6565","2015-05-08-11-28",20,"Female","47","2","13","p_ball_find_2","4"
"132","18","4","r_ball_where_4_11_6","ball","ball","0",TRUE,"8688","2015-05-08-11-28",20,"Female","47","2","13","r_ball_where_4","6"
"133","19","4","p_bird_where_1_25_1","bird","bird","0",TRUE,"9220","2015-05-08-11-28",20,"Female","47","2","13","p_bird_where_1","1"
"134","20","4","p_kitty_hey_3_00_1","cat","bird","1",FALSE,"11073","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_hey_3","1"
"135","21","4","r_book_where_4_07_5","book","book","1",TRUE,"8555","2015-05-08-11-28",20,"Female","47","2","13","r_book_where_4","5"
"136","22","4","p_bear_look_2_02_6","bear","bear","1",TRUE,"7475","2015-05-08-11-28",20,"Female","47","2","13","p_bear_look_1","6"
"137","23","4","r_ball_which_2_02_3","ball","ball","0",TRUE,"6564","2015-05-08-11-28",20,"Female","47","2","13","r_ball_which_2","3"
"138","24","4","r_book_which_1_29_3","book","book","0",TRUE,"5006","2015-05-08-11-28",20,"Female","47","2","13","r_book_which_1","3"
"139","25","4","r_cat_where_4_02_5","cat","cat","0",TRUE,"8938","2015-05-08-11-28",20,"Female","47","2","13","r_cat_where_3","5"
"140","26","4","p_car_where_1_25_6","car","car","0",TRUE,"5943","2015-05-08-11-28",20,"Female","47","2","13","p_car_where_1","6"
"141","27","4","r_love_car_3_19_2","car","car","1",TRUE,"8522","2015-05-08-11-28",20,"Female","47","2","13","r_love_car_3","2"
"142","28","4","p_doll_where_1_29_6","doll","doll","0",TRUE,"6770","2015-05-08-11-28",20,"Female","47","2","13","p_doll_where_1","6"
"143","29","4","r_cat_which_1_22_1","cat","cat","0",TRUE,"5902","2015-05-08-11-28",20,"Female","47","2","13","r_cat_which_1","1"
"144","30","4","p_bear_where_1_29_5","bear","doll","1",FALSE,"6081","2015-05-08-11-28",20,"Female","47","2","13","p_bear_where_1","5"
"145","31","4","p_book_where_2_04_5","book","book","1",TRUE,"6593","2015-05-08-11-28",20,"Female","47","2","13","p_book_where_2","5"
"146","32","4","r_love_doll_3_24_5","doll","doll","1",TRUE,"7630","2015-05-08-11-28",20,"Female","47","2","13","r_love_doll_3","5"
"147","33","4","r_love_shoes_3_13_1","shoe","shoe","0",TRUE,"15480","2015-05-08-11-28",20,"Female","47","2","13","r_love_shoes_3","1"
"148","34","4","r_bird_where_4_09_4","bird","bird","1",TRUE,"9407","2015-05-08-11-28",20,"Female","47","2","13","r_bird_where_4","4"
"149","35","4","p_doll_find_2_02_5","doll","doll","0",TRUE,"6065","2015-05-08-11-28",20,"Female","47","2","13","p_doll_find_1","5"
"150","36","4","r_car_where_3_21_1","car","car","0",TRUE,"8396","2015-05-08-11-28",20,"Female","47","2","13","r_car_where_3","1"
"151","37","4","r_car_which_1_28_3","car","book","1",FALSE,"8585","2015-05-08-11-28",20,"Female","47","2","13","r_car_which_1","3"
"152","38","4","r_shoes_which_1_25_4","shoe","shoe","0",TRUE,"5378","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_which_1","4"
"153","1","5","r_ball_which_2_03_4","ball","ball","0",TRUE,"13592","2015-05-08-11-28",20,"Female","47","2","13","r_ball_which_2","4"
"154","2","5","p_ball_find_2_01_1","ball","shoe","1",FALSE,"5769","2015-05-08-11-28",20,"Female","47","2","13","p_ball_find_2","1"
"155","3","5","p_shoe_hey_2_28_4","shoe","shoe","0",TRUE,"7415","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_hey_2","4"
"156","4","5","r_shoes_which_1_22_1","shoe","shoe","0",TRUE,"5592","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_which_1","1"
"157","5","5","r_cat_which_1_26_5","cat","cat","1",TRUE,"5664","2015-05-08-11-28",20,"Female","47","2","13","r_cat_which_1","5"
"158","6","5","r_book_which_2_02_6","book","car","1",FALSE,"9284","2015-05-08-11-28",20,"Female","47","2","13","r_book_which_1","6"
"159","7","5","p_car_where_1_24_5","car","car","1",TRUE,"5624","2015-05-08-11-28",20,"Female","47","2","13","p_car_where_1","5"
"160","8","5","r_book_where_4_04_2","book","book","1",TRUE,"9029","2015-05-08-11-28",20,"Female","47","2","13","r_book_where_4","2"
"161","9","5","r_bear_where_4_07_5","bear","bear","1",TRUE,"8736","2015-05-08-11-28",20,"Female","47","2","13","r_bear_where_4","5"
"162","10","5","p_book_where_2_00_1","book","car","0",FALSE,"9746","2015-05-08-11-28",20,"Female","47","2","13","p_book_where_2","1"
"163","11","5","r_love_doll_3_22_3","doll","doll","1",TRUE,"8543","2015-05-08-11-28",20,"Female","47","2","13","r_love_doll_3","3"
"164","12","5","p_kitty_hey_3_05_6","cat","cat","1",TRUE,"7550","2015-05-08-11-28",20,"Female","47","2","13","p_kitty_hey_3","6"
"165","13","5","r_love_ball_3_20_4","ball","shoe","1",FALSE,"10553","2015-05-08-11-28",20,"Female","47","2","13","r_love_ball_3","4"
"166","14","5","r_doll_which_1_23_4","doll","doll","1",TRUE,"5931","2015-05-08-11-28",20,"Female","47","2","13","r_doll_which_1","4"
"167","15","5","r_car_which_2_01_6","car","car","0",TRUE,"5694","2015-05-08-11-28",20,"Female","47","2","13","r_car_which_1","6"
"168","16","5","r_bird_where_4_07_2","bird","bird","1",TRUE,"8856","2015-05-08-11-28",20,"Female","47","2","13","r_bird_where_4","2"
"169","17","5","r_bear_which_1_27_5","bear","bear","0",TRUE,"6564","2015-05-08-11-28",20,"Female","47","2","13","r_bear_which_1","5"
"170","18","5","p_ball_where_1_22_2","ball","shoe","1",FALSE,"5132","2015-05-08-11-28",20,"Female","47","2","13","p_ball_where_1","2"
"171","19","5","p_bird_where_2_00_6","bird","bird","1",TRUE,"7379","2015-05-08-11-28",20,"Female","47","2","13","p_bird_where_1","6"
"172","20","5","r_shoes_where_3_28_3","shoe","ball","1",FALSE,"9106","2015-05-08-11-28",20,"Female","47","2","13","r_shoes_where_3","3"
"173","21","5","p_book_look_2_02_2","book","car","0",FALSE,"7411","2015-05-08-11-28",20,"Female","47","2","13","p_book_look_2","2"
"174","22","5","r_love_shoes_3_18_6","shoe","ball","0",FALSE,"9907","2015-05-08-11-28",20,"Female","47","2","13","r_love_shoes_3","6"
"175","23","5","r_cat_where_4_03_6","cat","cat","1",TRUE,"9201","2015-05-08-11-28",20,"Female","47","2","13","r_cat_where_3","6"
"176","24","5","r_love_cat_3_25_5","cat","cat","1",TRUE,"8361","2015-05-08-11-28",20,"Female","47","2","13","r_love_cat_3","5"
"177","25","5","p_shoe_where_1_23_6","shoe","shoe","0",TRUE,"5920","2015-05-08-11-28",20,"Female","47","2","13","p_shoe_where_1","6"
"178","26","5","p_bird_look_1_28_5","bird","bird","0",TRUE,"5850","2015-05-08-11-28",20,"Female","47","2","13","p_bird_look_1","5"
"179","27","5","r_ball_where_4_08_3","ball","ball","0",TRUE,"8017","2015-05-08-11-28",20,"Female","47","2","13","r_ball_where_4","3"
"180","28","5","p_bear_where_2_00_6","bear","bear","0",TRUE,"5715","2015-05-08-11-28",20,"Female","47","2","13","p_bear_where_1","6"
"181","29","5","r_love_bird_3_22_4","bird","cat","1",FALSE,"8722","2015-05-08-11-28",20,"Female","47","2","13","r_love_bird_3","4"
